Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
90,Tyson Chandler\chandty01,C,35,PHO,42,42,25.4,2.6,4.1,.624,0.0,0.0,,2.6,4.1,.624,.624,1.3,2.1,.618,3.1,6.5,9.5,1.1,0.3,0.6,1.3,2.4,6.5
91,Wilson Chandler\chandwi01,SF,30,DEN,52,49,30.6,3.5,8.2,.428,1.0,3.1,.329,2.5,5.1,.489,.491,1.3,1.6,.819,1.3,3.7,5.1,2.0,0.5,0.5,1.3,2.0,9.3
92,Marquese Chriss\chrisma01,PF,20,PHO,51,41,21.0,2.5,6.1,.404,0.8,2.6,.296,1.7,3.5,.486,.468,1.2,2.0,.594,0.9,4.2,5.1,1.2,0.7,1.0,1.4,3.0,6.9
93,Ian Clark\clarkia01,SG,26,NOP,51,1,17.3,2.3,5.5,.418,0.7,2.5,.291,1.6,3.0,.523,.484,0.5,0.7,.684,0.1,1.5,1.6,1.3,0.3,0.1,0.7,1.5,5.8
94,Jordan Clarkson\clarkjo01,SG,25,TOT,55,2,23.7,5.7,12.5,.453,1.3,3.9,.332,4.4,8.6,.510,.506,1.9,2.4,.791,0.8,2.2,3.0,3.2,0.7,0.1,1.7,1.2,14.6
94,Jordan Clarkson\clarkjo01,SG,25,LAL,53,2,23.7,5.6,12.6,.448,1.3,4.0,.324,4.4,8.6,.505,.499,2.0,2.5,.795,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5
94,Jordan Clarkson\clarkjo01,SG,25,CLE,2,0,23.5,6.5,10.5,.619,2.0,3.5,.571,4.5,7.0,.643,.714,0.5,1.0,.500,0.0,3.0,3.0,2.5,1.0,0.0,0.5,1.5,15.5
95,Gian Clavell\clavegi01,SG,24,DAL,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9
96,Antonius Cleveland\clevean01,SG,23,DAL,13,0,6.2,0.3,1.1,.286,0.0,0.1,.000,0.3,1.0,.308,.286,0.2,0.3,.500,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
97,John Collins\collijo01,PF,20,ATL,53,5,22.3,4.1,7.1,.580,0.1,0.4,.316,4.0,6.7,.594,.588,1.8,2.5,.737,2.7,4.3,7.0,1.0,0.6,1.2,1.3,2.9,10.2
98,Zach Collins\colliza01,C,20,POR,42,1,15.2,1.6,4.1,.379,0.5,1.5,.317,1.1,2.6,.414,.437,0.3,0.6,.560,0.6,2.6,3.3,0.8,0.3,0.5,0.8,2.1,4.0
99,Kyle Collinsworth\colliky01,SF,26,DAL,15,0,13.1,1.2,2.3,.514,0.1,0.4,.333,1.1,1.9,.552,.543,0.4,1.1,.353,0.6,1.9,2.5,1.1,0.6,0.1,0.6,1.3,2.9
100,Darren Collison\collida01,PG,30,IND,52,52,30.3,4.7,9.5,.495,1.3,3.1,.432,3.4,6.4,.526,.566,2.0,2.2,.897,0.6,2.1,2.7,5.3,1.4,0.3,1.3,1.9,12.8
101,Nick Collison\collini01,PF,37,OKC,9,0,5.8,0.8,0.9,.875,0.0,0.0,,0.8,0.9,.875,.875,0.3,0.7,.500,0.3,1.1,1.4,0.3,0.0,0.0,0.4,0.6,1.9
102,Mike Conley\conlemi01,PG,30,MEM,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440,.452,4.4,5.5,.803,0.0,2.3,2.3,4.1,1.0,0.3,1.5,2.0,17.1
103,Pat Connaughton\connapa01,SG,25,POR,58,5,19.5,2.3,5.2,.444,1.0,2.8,.370,1.3,2.4,.528,.543,0.6,0.7,.854,0.4,1.7,2.0,1.3,0.2,0.3,0.6,1.5,6.3
104,Quinn Cook\cookqu01,PG,24,GSW,11,2,9.5,1.2,2.6,.448,0.5,1.3,.357,0.7,1.4,.533,.534,0.1,0.1,1.000,0.2,0.9,1.1,1.5,0.0,0.0,0.3,0.8,2.9
105,Charles Cooke\cookech01,SG,23,NOP,9,0,2.7,0.2,1.1,.200,0.1,0.7,.167,0.1,0.4,.250,.250,0.1,0.2,.500,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.7
106,Jack Cooley\cooleja01,PF,26,SAC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
